source,title,page_id,revision_id,timestamp,contributor_ip,comment
Regjeringskontorene,Ambassade,53,6663819,1265633500000,132.150.226.76,/* Lenker til Norske ambassader i utlandet */
Regjeringskontorene,Ambassade,53,11202643,1348827272000,132.150.226.76,/* Eksterne lenker */ La inn lenke til Norges ambassade i Nederland
Regjeringskontorene,Anne Enger,57,1940313,1173781475000,132.150.8.242,/* Referanser */
Regjeringskontorene,Benito Mussolini,131,2459158,1184065278000,132.150.8.242,/* Annet */
Regjeringskontorene,Benito Mussolini,131,2459191,1184065853000,132.150.8.242,/* Fascisme */
Regjeringskontorene,Benito Mussolini,131,2536476,1185869581000,132.150.8.242,/* Annet */
Regjeringskontorene,Enebakk,238,2025245,1175266198000,132.150.8.242,/* Eksterne lenker */
Regjeringskontorene,Enebakk,238,2253892,1179729376000,132.150.8.242,
Regjeringskontorene,Enebakk,238,2702711,1189571432000,132.150.8.242,/* Politikk */
Regjeringskontorene,Enebakk,238,2904600,1193812922000,132.150.8.242,/* Politikk */ slettet gammel informasjon
Regjeringskontorene,Etiopia,245,4307907,1221117549000,132.150.8.242,
Regjeringskontorene,Etiopia,245,4307912,1221117746000,132.150.8.242,/* Befolkning */
Regjeringskontorene,Etiopia,245,4307919,1221117875000,132.150.8.242,/* Befolkning */
Stortinget,Premier League,319,6384683,1260869325000,85.88.64.195,/* Tidligere Premier League-medlemmer */
Regjeringskontorene,Globalisering,392,140741,1109170499000,132.150.243.52,
Regjeringskontorene,Italia,493,2467015,1184227855000,132.150.8.242,/* Demografi */
Regjeringskontorene,Italia,493,2467064,1184228384000,132.150.8.242,/* Demografi */
Regjeringskontorene,Italia,493,2489405,1184748265000,132.150.8.242,/* 1. verdenskrig */
Regjeringskontorene,Italia,493,2489416,1184748465000,132.150.8.242,/* Fascistene */
Regjeringskontorene,Italia,493,2489460,1184749314000,132.150.8.242,/* Fascistene */
Regjeringskontorene,Liste over komponister,544,1405732,1162823767000,132.150.226.76,/* [[Moderne klassisk musikk]] */
Regjeringskontorene,Kulturdepartementet (Norge),608,7859494,1288703414000,132.150.9.210,/* Avdelinger */
Regjeringskontorene,Kulturdepartementet (Norge),608,7985072,1291127850000,132.150.9.210,
Regjeringskontorene,Kulturdepartementet (Norge),608,7985082,1291128068000,132.150.9.210,/* Underliggende etater */
Regjeringskontorene,Kulturdepartementet (Norge),608,11265805,1350285142000,132.150.8.82,
Regjeringskontorene,GNU/Linux,632,600449,1139400000000,132.150.8.242,
Regjeringskontorene,Litauen,636,2072706,1176203733000,132.150.226.76,/* Politikk */
Regjeringskontorene,Litauen,636,2072714,1176203859000,132.150.226.76,/* Politikk */
Regjeringskontorene,Litauen,636,2072722,1176204007000,132.150.226.76,/* Politikk */
Regjeringskontorene,Mandal,651,5595597,1243926701000,132.150.149.75,/* Kultur og utdanning */
Regjeringskontorene,Mandal,651,6848721,1268857995000,132.150.89.35,
Regjeringskontorene,Mensa,691,7997764,1291370883000,132.150.9.210,/* Mensaprisen */
Regjeringskontorene,Odds ballklubb,824,4844243,1230030440000,132.150.8.242,/* 2009-sesongen */
Regjeringskontorene,Odds ballklubb,824,5039523,1233134552000,132.150.8.242,/* 2009-sesongen */
